Houses,name,Blue Assets,name,Education,name,Business,name,Emergency Services,name,Transportation,name,Food,name,Green Assets,name
,,,,,,,,,,POINT (2.1853401 41.4010642),Point 68,POINT (2.1575065 41.388662),Point 67,,
,,,,,,,,,,POINT (2.1818609 41.4004813),Point 69,POINT (2.1787759 41.3991008),Point 68,,
,,,,,,,,,,POINT (2.1807988 41.3995759),Point 70,POINT (2.1803637 41.3963001),Point 69,,
,,,,,,,,,,POINT (2.1861881 41.3951886),Point 71,POINT (2.178057 41.3988272),Point 70,,
,,,,,,,,,,POINT (2.1583697 41.3772128),Point 72,POINT (2.1852197 41.396513),Point 71,,
,,,,,,,,,,POINT (2.1613416 41.3773335),Point 73,POINT (2.1851017 41.3988228),Point 72,,
,,,,,,,,,,POINT (2.16007 41.3763112),Point 74,POINT (2.1833582 41.3992011),Point 73,,
,,,,,,,,,,POINT (2.1580315 41.3790605),Point 75,POINT (2.1817539 41.3972774),Point 74,,
,,,,,,,,,,,,POINT (2.1510842 41.3846699),Point 75,,
,,,,,,,,,,,,POINT (2.1549032 41.3834865),Point 76,,
,,,,,,,,,,,,POINT (2.1550534 41.3851609),Point 77,,
,,,,,,,,,,,,POINT (2.1581004 41.3856117),Point 78,,
,,,,,,,,,,,,POINT (2.156652 41.3838729),Point 79,,
